,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,genre,artist,title,album,sp_energy,sp_speechiness,sp_valence,sp_danceability,sp_acousticness,sp_instrumentalness,sp_tempo,sp_liveness,sp_loudness
52,Valentine.mp3,relax,151.9990809,187708,1526.081301,0.295066879,0.322210677,0.103819721,0.488433296,0.308276542,0.095034427,0.250607019,0.143281036,0.020529455,4.694198467,56.18554731,3156.815726,-8.414350445,65.58126024,4300.901695,0.010982017,2.706455857,7.324903305,0.111803152,0.089948133,0.008090666,2191.450471,1202.412457,1445795.716,2165.804248,596.0846685,355316.932,21.66672273,7.534512734,56.76888213,4113.504293,2348.011026,5513155.78,1.031255836,1.649936711,2.72229115,0.020752218,0.083104451,0.00690635,0.109773524,0.091293528,0.008334508,-1.17E-05,0.096264318,0.009266819,0.000177608,0.095030487,0.009030793,6.361106576,3.166315408,10.02555326,unknown,Jessie Ware,Valentine,Devotion - The Gold Edition,0.453,0.0708,0.24,0.712,0.711,0.00445,152.984,0.0728,-12.278
55,The Black Keys - Fever.mp3,happy,129.1992188,162804,1281.92126,0.449830628,0.304587575,0.092773591,0.519208091,0.285057622,0.081257848,0.259222527,0.127031551,0.016137015,15.59782075,102.925665,10593.69252,6.57800758,37.05370788,1372.977268,0.018037925,3.761580208,14.14948566,0.244390577,0.086038888,0.00740269,1928.719048,753.9694207,568469.8873,2456.483197,486.9000922,237071.6998,19.48097185,6.970322925,48.58540168,4512.414381,1876.604922,3521646.035,2.441156469,2.965714736,8.795463895,-0.002814189,0.066014475,0.004357911,0.053514983,0.037709641,0.001422017,2.38E-05,0.174495086,0.030448537,9.07E-05,0.147288889,0.021694016,2.501950113,1.491705893,2.225186472,Alternative,The Black Keys,Fever,Turn Blue,0.674,0.0355,0.743,0.609,0.00378,0.000302,127.541,0.129,-6.506
58,05 Can't Stop Looking.mp3,angry,117.4538352,149656,1268.271186,0.38447481,0.296974626,0.088193929,0.496820488,0.273577739,0.074844779,0.254130476,0.136934417,0.018751034,17.08610045,89.80545797,8065.020282,5.713810169,25.49932507,650.2155792,0.019535258,2.929327827,8.580961518,0.270545274,0.086223774,0.007434539,2747.224784,986.0288504,972252.8937,2702.120315,360.0303899,129621.8816,19.8028955,6.680663568,44.63126571,5862.927048,1619.273281,2622045.959,3.654924852,4.320523664,18.66692473,0.019299509,0.070163672,0.004922941,0.129559118,0.083318753,0.006942015,-3.29E-05,0.201171622,0.040470023,-0.000393462,0.142241448,0.020232631,5.575111111,1.869341914,3.494439192,Rock,Cash Cash,Can't Stop Looking,Take It To The Floor,0.878,0.0517,0.592,0.669,0.064,0,119.973,0.674,-3.465
59,communication.mp3,sad,123.046875,158997,1292.658537,0.293995648,0.296104469,0.087677856,0.392877169,0.281894746,0.079464648,0.226888764,0.178479192,0.031854822,4.407462668,31.29081124,979.1148682,-4.384799861,54.9952701,3024.479733,0.012102033,2.334738624,5.451004443,0.124447137,0.059481777,0.003538082,1587.945312,794.5187793,631260.0907,2021.939705,729.4349031,532075.2779,23.34134381,6.249215298,39.05269184,3376.092085,1889.312031,3569499.951,1.175042651,1.435989085,2.062064653,-0.015533103,0.103332556,0.010677617,0.060871514,0.043148082,0.001861757,-2.88E-06,0.121549502,0.014774282,1.01E-06,0.037108038,0.001377006,4.84368254,2.648931775,7.016839548,Rock/Pop,The Cardigans,Communication,¦Ï¤ò­m¦X°Û¹ÎThe Cardigans-¾¤©ú¤§«e,0.377,0.0281,0.129,0.491,0.299,0.00046,126.286,0.0802,-9.082
60,P!nk - Trouble.mp3,angry,135.9991776,99409,974.5980392,0.441784164,0.28007065,0.078439569,0.518537678,0.261397353,0.068328576,0.263078843,0.118839621,0.014122856,14.61756236,69.87923944,4883.108104,4.925074247,30.01727607,901.0368624,0.011595283,2.905464714,8.441725206,0.24954249,0.094421715,0.00891546,2679.644513,743.3595582,552583.4327,2615.650419,441.7020676,195100.7165,19.59520941,7.063240969,49.88937299,5653.874145,1489.559339,2218787.024,3.743096375,4.551466451,20.71584685,0.006931357,0.05984022,0.003580852,0.125165343,0.054858752,0.003009483,-1.91E-05,0.181658223,0.032999709,-6.55E-05,0.126434714,0.015985738,2.41139229,1.353750738,1.83264106,unknown,Pink,Trouble,Greatest Hits...So Far!!! (Deluxe Version),0.932,0.0479,0.853,0.572,0.0068,0,135.522,0.491,-2.7
61,My Savior My God.mp3,sad,151.9990809,199796,1289.006452,0.286316926,0.298905456,0.089344472,0.406300426,0.285722644,0.081637429,0.230269608,0.174095494,0.030309241,6.383732988,43.53035027,1894.891395,-2.832072652,53.48991965,2861.171505,0.014187906,3.615326853,13.07058826,0.157077119,0.05755366,0.003312424,1801.070259,1192.847407,1422884.936,2236.889653,859.0128535,737903.0825,23.30931289,6.547888062,42.87483807,4043.467216,2746.851446,7545192.866,1.405654418,1.742542511,3.036454403,-0.014445246,0.09693085,0.00939559,0.061783073,0.067273226,0.004525687,4.57E-06,0.142378971,0.020271771,6.93E-05,0.059168607,0.003500924,3.267047619,1.808282946,3.269887214,unknown,Aaron Shust,My Savior My God,Wow Worship [Purple],0.467,0.0241,0.241,0.563,0.0229,0,77.982,0.0945,-6.087
62,keep on walking.mp3,relax,89.10290948,108713,1264.104651,0.39053911,0.313667135,0.098387072,0.496854334,0.282233462,0.079655727,0.256427902,0.132582294,0.017578065,6.202968755,42.31141527,1790.255863,-2.393596932,45.46645003,2067.198078,0.008906781,3.668794156,13.46005056,0.141389966,0.090170637,0.008130744,2527.527083,876.2790443,767864.9635,2430.062287,390.3044144,152337.5359,20.17552258,7.223677347,52.18151441,5103.810805,1490.1996,2220694.848,1.77923065,2.672028045,7.139733872,-0.011597275,0.076993657,0.005928023,0.127346547,0.089625746,0.008032774,-7.10E-06,0.109032549,0.011888096,6.20E-06,0.096153758,0.009245546,4.401342404,2.66379007,7.095777538,Other,Jem,Keep On Walking,Down To Earth,0.775,0.059,0.612,0.553,0.399,0,177.818,0.335,-5.176
66,09 Two Days Old.mp3,angry,89.10290948,111193,1263.556818,0.417689522,0.298966076,0.089380715,0.522549055,0.264303343,0.069856257,0.260395108,0.124610276,0.015527721,19.22454323,119.6404072,14313.82704,4.869211736,22.00198358,484.0872815,0.015748295,2.318362461,5.374804498,0.283531308,0.099084117,0.009817662,3110.351939,876.3869878,768054.1524,2907.482606,333.8576598,111460.937,19.0515848,6.838758481,46.76861756,6807.338004,1269.131294,1610694.242,3.826566003,4.369325235,19.09100301,0.013555101,0.06351605,0.004034289,0.159003763,0.095097573,0.009043548,-2.33E-05,0.213585109,0.045618601,-0.000178513,0.138323158,0.019133294,4.024018141,2.299749838,5.288849318,Rock,Cash Cash,Two Days Old,Take It To The Floor,0.916,0.0552,0.561,0.42,0.112,0,176.947,0.34,-3.145
67,Neon Trees - Everybody Talks.mp3,happy,151.9990809,191734,1261.407895,0.355992153,0.305074033,0.093070166,0.538706546,0.258082994,0.066606832,0.264013699,0.116748019,0.0136301,12.82402759,91.66717108,8402.870254,1.406637081,30.78036598,947.4309298,0.012947766,2.574310966,6.627076951,0.227062926,0.108579144,0.01178943,2706.165087,803.4207256,645484.8623,2374.743298,487.6032149,237756.8952,20.16715428,7.200830203,51.85195561,5265.522327,1572.476289,2472681.678,3.173689858,3.900664233,15.21518146,0.007231819,0.063525954,0.004035547,0.143138968,0.070225338,0.004931598,-4.48E-06,0.18379955,0.033782277,2.82E-06,0.116175823,0.013496822,2.604117914,1.286860592,1.656010182,Alternative,Neon Trees,Everybody Talks,Everybody Talks - Single,0.915,0.0652,0.703,0.478,0.00584,0,154.955,0.386,-3.858
68,04 Cash Cash.mp3,happy,78.30255682,96777,1256.844156,0.365508221,0.291254092,0.084828946,0.520943074,0.268443013,0.072061651,0.259558766,0.126343106,0.01596258,20.55816446,104.627183,10946.84741,5.380153314,25.09520885,629.7695072,0.015801155,2.676035007,7.161163356,0.300100654,0.094890833,0.00900427,2721.043867,868.4274012,754166.1511,2635.11668,434.5194935,188807.1902,20.41124837,6.975921795,48.66348489,5713.632117,1665.208425,2772919.098,4.109289954,4.815355279,23.18764647,-0.010851068,0.071207066,0.005070446,0.133790385,0.072843135,0.005306122,-0.000117496,0.219225794,0.048059948,0.000514581,0.155716091,0.024247503,6.940444444,4.839998338,23.42558391,Rock,Cash Cash,Cash Cash,Take It To The Floor,0.887,0.0365,0.343,0.65,0.0651,0.000344,108.026,0.282,-3.517
70,We Belong To No One.mp3,relax,103.359375,121489,1227.161616,0.412173376,0.289650775,0.083897571,0.475305128,0.283821157,0.080554449,0.247911319,0.147896285,0.021873311,7.804452697,55.05395395,3030.937845,0.63263663,59.00998787,3482.178669,0.010941433,3.3725131,11.37384461,0.157164648,0.092934817,0.00863688,1245.041369,539.0486551,290573.4525,1788.159399,549.0263113,301429.8905,20.84574024,6.862720186,47.09692834,2477.889183,1404.785224,1973421.526,1.695217623,2.360426697,5.571614191,0.011558463,0.078945665,0.006232418,0.046755386,0.02969187,0.000881607,-3.74E-06,0.146138757,0.021356536,-8.21E-05,0.069241516,0.004794388,7.426902494,4.804422827,23.0824787,Alternative,Devics,We Belong To No One,°µ°×ÍÇÃÒ,0.414,0.033,0.275,0.669,0.438,0.639,104.074,0.104,-10.826
72,fort minor - where'd you go.mp3,sad,89.10290948,101522,1720.711864,0.357657404,0.312469386,0.097637117,0.434210261,0.282075738,0.079566722,0.239007264,0.16189151,0.026208861,18.24857045,138.0752341,19064.77028,-1.214524433,50.37221795,2537.360341,0.01205252,3.04665876,9.282129599,0.240975112,0.152680069,0.023311205,1807.281786,987.3055985,974772.3448,1884.316287,894.1518293,799507.4938,21.78557706,7.770224814,60.37639365,3778.447986,2141.943328,4587921.22,2.877439643,4.240420331,17.98116458,0.013137448,0.092386281,0.008535225,0.076422251,0.051616884,0.002664303,-1.26E-05,0.19134666,0.036613543,-0.000168818,0.156833187,0.02459665,3.431909297,1.924899228,3.705237038,Hip-Hop,Fort Minor,Where'd You Go (feat. Holly Brook and Jonah Matranga),The Rising Tied,0.819,0.238,0.25,0.684,0.262,0.00197,179.999,0.113,-3.309
74,Please shine.mp3,relax,135.9991776,174681,1284.419118,0.29222529,0.294004034,0.086438372,0.447198244,0.26440522,0.06991012,0.248601455,0.146733261,0.02153065,4.054582069,34.36716196,1181.101821,-6.726907508,61.52674398,3785.540225,0.010638452,2.461480429,6.0588859,0.112753592,0.070701741,0.004998737,1254.294883,859.7829785,739226.7701,1470.742892,737.7075734,544212.4639,24.64302681,5.76778726,33.26736988,2469.705899,1806.994089,3265227.639,1.164922068,1.597901581,2.553289463,-0.013558851,0.097424159,0.009491467,0.058985093,0.051229962,0.002624509,-1.04E-05,0.116076082,0.013473656,-8.78E-05,0.039471209,0.001557976,10.99580952,5.328048562,28.38810148,Rock,We Shot The Moon,Please Shine,Fear And Love,0.318,0.0291,0.297,0.569,0.394,0,137.028,0.103,-8.663
76,Moriah Peters - Brave.mp3,happy,83.35433468,104925,1279.573171,0.261301131,0.301733632,0.091043185,0.412941183,0.295114405,0.087092512,0.239057569,0.161817218,0.026184812,10.495692,80.58170763,6493.411605,-2.198034067,47.00998728,2209.938904,0.010036968,3.448791122,11.8941602,0.191759408,0.110586725,0.012229424,2439.9152,974.8390935,950311.2583,2576.331476,588.3506541,346156.4922,22.65019325,7.505918506,56.33881262,5210.197661,2208.624238,4878021.023,2.181125448,3.237438694,10.4810093,-0.002230068,0.095342793,0.009090248,0.100717456,0.072158124,0.005206795,-7.91E-06,0.17428273,0.030374469,-2.13E-05,0.091337681,0.008342572,3.796462585,2.431135905,5.910421788,unknown,Moriah Peters,Brave,Brave,0.652,0.0389,0.508,0.449,0.256,1.33E-06,166.036,0.076,-4.401
78,A Wolf At The Door.mp3,sad,143.5546875,171324,1259.735294,0.344986648,0.299521554,0.089713161,0.446675921,0.281523877,0.079255693,0.243250021,0.155443754,0.024162761,9.956716117,51.56228268,2658.668995,0.786217601,45.48100219,2068.52156,0.011697634,3.079806006,9.485205032,0.195834324,0.074896306,0.005609456,1842.288032,875.612553,766697.343,2177.655452,641.1857206,411119.1283,21.9235633,7.224467445,52.19292987,3920.338794,2043.002019,4173857.248,2.331834403,2.827925114,7.997160451,-0.000804155,0.0885003,0.007832303,0.067974457,0.040163361,0.001613096,-1.34E-05,0.162807763,0.026506368,-0.00010155,0.088957533,0.007913442,4.379283447,2.284864775,5.22060704,unknown,Radiohead,A Wolf At The Door,Hail To The Thief,0.675,0.029,0.37,0.48,0.265,4.23E-06,138.784,0.235,-7.134
81,weezer-where-is-my-mind-pixies-cover.mp3,angry,151.9990809,193312,1280.211921,0.393778538,0.308381022,0.095098854,0.342756151,0.297364022,0.088425361,0.204997408,0.20324713,0.041309396,13.07729706,85.64533272,7335.123017,4.770731225,40.41760898,1633.583116,0.012327219,2.035740366,4.144238839,0.216120243,0.095117919,0.009047418,1824.874016,611.8917505,374411.5143,2362.02909,460.1437724,211732.2913,20.20605073,6.603502748,43.60624854,4166.170641,1558.778695,2429791.021,1.930277136,2.306397217,5.319468125,-0.012020443,0.105303433,0.011088813,0.054388182,0.037279964,0.001389796,4.31E-06,0.217358187,0.047244579,1.43E-05,0.048008677,0.002304833,2.766657596,2.024831637,4.099943159,Alternative,Nada Surf,Where Is My Mind,Pixies Tribute,0.532,0.0432,0.0414,0.474,0.00386,0.27,151.982,0.0805,-11.141
83,Someone To Save You.mp3,sad,86.1328125,106223,1249.682353,0.334175777,0.286835152,0.082274404,0.5040147,0.262731413,0.069027795,0.256458962,0.132522203,0.017562134,11.51104783,55.92908183,3128.062194,1.252540871,29.39507775,864.0705958,0.010892374,2.285163626,5.221972798,0.223416254,0.063069396,0.003977749,2221.991125,593.4815906,352220.3983,2251.578612,357.9252134,128110.4584,21.21794761,6.128712502,37.56111693,4460.023031,1213.221001,1471905.198,3.188307946,3.551515664,12.61326351,0.013514048,0.076336974,0.005827334,0.109276928,0.039978446,0.001598276,9.09E-07,0.181586668,0.032973718,-3.81E-05,0.096450508,0.0093027,4.721777778,3.373414918,11.37992821,Indie,OneRepublic,Someone To Save You,Dreaming Out Loud,0.824,0.0353,0.67,0.311,0.0316,1.50E-06,174.029,0.216,-4.019
84,chris-Life After You.mp3,sad,151.9990809,196475,1284.150327,0.342809191,0.293625676,0.086216037,0.414114337,0.279671198,0.078215979,0.232780942,0.170723069,0.029146366,15.80215868,78.18927528,6113.562768,4.53480798,27.95352983,781.39983,0.015895309,2.148498769,4.616046959,0.253533423,0.094370939,0.008905874,2427.549369,699.1195172,488768.0994,2513.277075,358.1919399,128301.4658,20.72686848,6.289292421,39.55519916,5186.243639,1397.140334,1952001.113,3.411175451,4.068801828,16.55514832,-0.001620372,0.089367406,0.007986533,0.10341453,0.045181755,0.002041391,1.75E-06,0.210061446,0.044125814,2.36E-05,0.105643347,0.011160517,2.86185941,1.745051429,3.045204488,Rock,Daughtry,Life After You,Leave This Town,0.764,0.0299,0.309,0.434,0.0534,0,51.316,0.437,-3.45
85,You.mp3,relax,92.28515625,117579,1292.076923,0.315854149,0.29991256,0.089947543,0.451849664,0.27174035,0.073842818,0.245638855,0.151640648,0.022994886,9.689335068,51.71956067,2674.912956,-1.497189912,33.29434335,1108.513299,0.01276204,2.306518909,5.320029477,0.195786059,0.078860849,0.006219034,2523.77647,765.981299,586727.3504,2745.187296,402.5540265,162049.7442,22.47568475,6.368157255,40.55342683,5722.998727,1631.374762,2661383.613,2.372988131,3.07479723,9.454378005,0.000706471,0.079800758,0.006368161,0.099049855,0.057657762,0.003324418,1.83E-05,0.171888098,0.02954552,7.51E-06,0.075599194,0.005715238,4.613804989,2.364346727,5.590135443,ÆäËûÀà±ð¡¾Other Genre¡¿,The Afters,You,I Wish We All Could Win,0.756,0.036,0.434,0.549,0.369,0,121.961,0.0891,-4.752
88,with me.mp3,angry,117.4538352,141231,1249.831858,0.286371217,0.289695538,0.083923505,0.471947373,0.269204728,0.072471186,0.247319224,0.1488843,0.022166535,10.77684417,53.8289521,2897.556085,0.224552379,32.95313411,1085.909048,0.014382327,2.298182412,5.2816424,0.208105624,0.073642544,0.005423224,2248.044079,743.5232529,552826.8276,2470.168755,420.2330335,176595.8024,23.06588564,8.887770623,78.99246665,5029.919585,1557.720737,2426493.894,2.551406699,3.074504517,9.452578027,0.018275673,0.075492946,0.005699185,0.092479788,0.050776231,0.002578226,-2.48E-05,0.182238281,0.033210792,-0.000296204,0.073369369,0.005383064,2.528653061,1.395573363,1.947625012,Punk,Sum 41,With Me,Underclass Hero,0.859,0.0425,0.128,0.164,0.0112,0,175.118,0.179,-4.031
92,No One s Gonna Love You.mp3,sad,151.9990809,186682,1305.468531,0.310062935,0.317717187,0.100944211,0.427863146,0.29412046,0.086506845,0.236064608,0.166153044,0.027606834,1.103421052,9.461505512,89.52008655,-9.257562315,72.27887117,5224.235218,0.007764725,2.5030193,6.265105618,0.058111515,0.037197098,0.001383624,1722.159817,893.801903,798881.8418,2084.207483,829.5503876,688153.8455,22.15458744,5.738167763,32.92656928,3578.440862,2210.27535,4885317.123,0.550417335,0.75031008,0.562965216,-0.004324254,0.091030444,0.008286542,0.069994664,0.058010124,0.003365174,2.30E-07,0.058252748,0.003393383,-6.71E-06,0.027350442,0.000748047,11.83753288,5.402129311,29.18300109,Adult Contemporary,Kristina Train,No One's Gonna Love You,Dark Black,0.503,0.0316,0.343,0.473,0.417,0.00173,148.855,0.101,-9.774
94,Soulmate.mp3,sad,172.265625,217248,1285.491124,0.279951681,0.302538172,0.091529346,0.411531838,0.276409603,0.076402268,0.239726573,0.160824449,0.025864503,3.073762304,30.46158848,927.9083725,-7.75727195,58.20228252,3387.505691,0.010847185,2.633260371,6.934060184,0.097655155,0.066744886,0.00445488,2010.286566,1159.325408,1344035.403,2436.319676,699.4283327,489199.9926,23.79056926,6.104734413,37.26778225,4365.661101,2616.561625,6846394.738,0.950812548,1.426673117,2.035396184,0.005771049,0.095587523,0.009136974,0.074165273,0.07199155,0.005182783,2.46E-08,0.09957467,0.009915115,-2.49E-05,0.038996845,0.001520754,2.780589569,1.834359884,3.364876184,unknown,Natasha Bedingfield,Soulmate,Pocketful Of Sunshine (Deluxe,0.602,0.038,0.349,0.453,0.351,0,169.753,0.117,-5.56
97,OneRepublic - I Lived.mp3,happy,123.046875,149867,1259.386555,0.283767612,0.304299818,0.092598379,0.423471822,0.283870469,0.080582443,0.236913556,0.164940293,0.0272053,4.145699155,32.93012009,1084.392809,-1.573850605,44.65593661,1994.152675,0.011200582,2.8165901,7.933179792,0.118467569,0.068898335,0.00474698,2470.730306,908.5842038,825525.2554,2607.02067,350.7602474,123032.7512,22.23833079,6.636349008,44.04112815,5351.930138,1685.02732,2839317.069,1.324046165,1.849797372,3.421750317,-0.016336675,0.087857577,0.007718954,0.106309637,0.079201811,0.006272927,-3.17E-05,0.108336128,0.011736716,2.45E-05,0.055500876,0.003080347,1.77168254,1.06675666,1.137969772,unknown,OneRepublic,I Lived,Native,0.85,0.0452,0.386,0.596,0.0728,0,119.985,0.26,-5.402
98,Eminem - Space Bound.mp3,sad,143.5546875,173063,1573.3,0.432178389,0.292480967,0.085545116,0.493372464,0.287626197,0.082728829,0.247197246,0.149086737,0.022226855,11.55577744,69.03290185,4765.541538,1.980217209,39.59136962,1567.476549,0.01257658,2.901834554,8.420643779,0.195772037,0.121114008,0.014668603,2409.029501,1019.720099,1039829.08,2419.904393,618.5177277,382564.1794,19.85296481,6.750325288,45.5668915,4933.249336,2067.700501,4275385.363,2.411920073,3.39671947,11.53770316,-0.005928787,0.077141365,0.00595079,0.111779369,0.059174489,0.00350162,2.16E-06,0.166568175,0.027744954,9.73E-05,0.112949945,0.01275769,16.9981678,2.782749301,7.743693673,unknown,Eminem,Space Bound,Recovery,0.878,0.131,0.511,0.669,0.0406,0,142.035,0.48,-3.394
100,21guns-greenday.mp3,angry,78.30255682,82719,1165.056338,0.333812845,0.298081491,0.088852575,0.466381691,0.274359561,0.075273169,0.251350002,0.141973624,0.02015651,9.6901957,56.20265964,3158.738951,0.463643116,34.91135944,1218.803018,0.012239949,2.667645237,7.11633111,0.193429887,0.082047246,0.006731751,2165.373752,745.5362922,555824.3629,2274.577377,494.7867742,244813.9519,22.15866767,6.846101192,46.86910154,4552.939136,1576.052775,2483942.35,2.404558176,3.082379706,9.501064652,-0.006490544,0.083710089,0.007007379,0.091793285,0.048666413,0.00236842,-6.04E-07,0.172303736,0.02968858,-0.000150302,0.075170398,0.005650588,6.698956916,3.585325669,12.85456015,unknown,unknown,Track 1,Unknown Album (þ06/þ08/þ2009 10:18:28),0.511,0.187,0.183,0.866,0.236,0.897,125.008,0.105,-10.436
105,pedalo.mp3,relax,99.38401442,125549,1281.112245,0.254086231,0.304724317,0.092856909,0.402902659,0.290523452,0.084403876,0.238060949,0.163279876,0.026660318,2.859654048,43.84298234,1922.2071,-9.741478458,66.29038412,4394.415026,0.00802552,3.807109129,14.49407992,0.08596655,0.071202882,0.00506985,1616.281805,1062.779863,1129501.036,1743.036717,671.277151,450613.0135,22.87710112,6.509718191,42.37643092,2762.27913,2014.496371,4058195.628,0.756650761,1.168313614,1.3649567,-0.008328774,0.092814364,0.008614506,0.085604925,0.073356547,0.005381183,-1.14E-06,0.097190261,0.009445947,1.51E-05,0.034003235,0.00115622,4.666049887,2.608330435,6.803387656,Other,The Heart Strings,Pedalo,Try Fly Blue Sky,0.342,0.038,0.452,0.849,0.616,0.031,99.009,0.0402,-8.717
107,along the wall.mp3,sad,99.38401442,126771,1280.515152,0.26703053,0.299722409,0.089833523,0.439293097,0.275093013,0.075676166,0.239701252,0.160862187,0.025876643,7.358432821,47.0781498,2216.352188,-1.290232151,51.23919853,2625.455466,0.007389813,2.408917558,5.802883799,0.161442801,0.081078969,0.0065738,1648.691205,853.2702756,728070.1632,1932.623569,779.9234725,608280.623,23.23543658,6.212426276,38.59424023,3354.204718,1864.204364,3475257.911,1.720021503,2.181432379,4.758647224,0.018850086,0.092467621,0.008550261,0.071718954,0.045422122,0.002063169,-5.26E-05,0.157754928,0.024886616,2.62E-05,0.054904748,0.003014531,4.911020408,2.576447286,6.638080619,Pop,Leigh Nash,Along The Wall,Blue On Blue,0.578,0.0226,0.421,0.612,0.551,0.246,99.015,0.0835,-7.435
108,U2 - With Or Without You.mp3,sad,107.6660156,135973,1270.775701,0.392887337,0.303852789,0.092326518,0.391736145,0.296594692,0.087968411,0.223663224,0.182505056,0.033308096,3.508622279,23.78768902,565.8541488,1.40968023,74.57364229,5561.228125,0.012997724,3.601320109,12.96950653,0.114216171,0.045056593,0.002030096,1173.867169,813.9303412,662482.6004,1750.64839,691.2477992,477823.5199,23.2702206,7.562487929,57.19122368,2584.317706,1902.474646,3619409.778,0.855978336,1.021762116,1.043997821,-0.003305046,0.089107995,0.007940235,0.042180206,0.026065942,0.000679433,4.54E-06,0.112546019,0.012666607,-2.87E-05,0.027455658,0.000753813,2.676099773,1.317635247,1.736162643,Rock,U2,With or Without You,U2 - the best of 1980-1990,0.432,0.0288,0.107,0.543,0.000207,0.369,110.196,0.146,-11.832
110,Bruno Mars-Talking To The Moon.mp3,sad,143.5546875,183855,1276.770833,0.254280634,0.29517858,0.087130394,0.410775206,0.275146204,0.075705433,0.233966598,0.169094542,0.028592964,10.48327002,89.52077712,8013.969535,-4.802757179,47.4337297,2249.958714,0.010820439,2.401650902,5.767927057,0.18060343,0.116574191,0.013589541,1791.457144,921.8394589,849787.9879,2032.327298,541.6148729,293346.6705,23.54978965,5.973816264,35.68648076,3441.375024,1819.277753,3309771.541,1.855204224,2.540574183,6.454517178,0.00776726,0.101067825,0.010214705,0.078595897,0.06380929,0.004071625,6.15E-06,0.194111422,0.037679244,-0.000137769,0.056133516,0.003150972,4.228353741,2.233789808,4.989816908,Abstract,Bruno Mars,Talking To The Moon,It's Better If You Don't Under,0.606,0.0301,0.065,0.523,0.512,0,145.837,0.106,-4.754
112,The Weepies-Gotta Have You.mp3,relax,151.9990809,189562,1334.943662,0.264838621,0.300406717,0.090244196,0.407675321,0.288186619,0.083051527,0.233633693,0.169554213,0.028748631,8.924941547,56.01230641,3137.378469,-0.381986743,55.20929314,3048.066049,0.010800305,2.934492241,8.611244714,0.17863439,0.078815371,0.006211862,1390.265013,739.6336989,547058.0086,2061.391933,562.6202835,316541.5834,23.08428309,6.208203513,38.54179085,2762.30413,1957.609276,3832234.077,1.61485624,2.020961828,4.084286711,-0.005943251,0.095064817,0.00903732,0.045146552,0.031019884,0.000962233,-1.39E-05,0.16993843,0.028879069,-2.01E-05,0.061714396,0.003808666,5.037569161,1.361162278,1.852762746,Abstract,The Weepies,Gotta Have You,Say I am you,0.363,0.0318,0.543,0.679,0.872,9.52E-05,75.004,0.0798,-10.9
117,gotye - somebody that i used to know.mp3,sad,129.1992188,163392,1286.551181,0.337810907,0.310188864,0.096217131,0.470875769,0.280960134,0.078938597,0.258376487,0.128743637,0.016574924,3.454686137,24.7994473,615.0125863,-0.209854108,65.45978984,4284.984086,0.012999539,3.821970894,14.60746151,0.109291241,0.053530097,0.002865471,1137.248717,815.4289673,664924.4007,1694.239809,464.2122749,215493.0362,19.35516745,7.158828177,51.24882087,2225.711541,1675.408445,2806993.458,1.063470905,1.46855984,2.156668003,0.000366119,0.076162135,0.005800671,0.041212714,0.058198358,0.003387049,0.000203903,0.085324734,0.00728031,-0.000143111,0.062399365,0.003893681,3.037170068,1.446728028,2.093021986,unknown,Gotye,Somebody That I Used to Know,2011Äê7ÔÂÅ·ÃÀÐÂ¸èËÙµÝ,0.517,0.0384,0.754,0.857,0.565,0.000195,129.063,0.102,-6.972
